distance,elapsed_time,highest_elevation,lowest_elevation,moving_time,total_elevation_gain,stop_time,stop_ratio,avg_speed_implied_kmh,pace_min_per_km,flag_elapsed_lt_moving,flag_stop_time_negative,flag_distance_eq_0,flag_stop_ratio_gt_0_8,flag_avg_speed_gt_45,flag_pace_gt_30
74.9,790,190.2,190.2,790,0.0,0,0.0,0.34131645569620256,175.7899421450823,False,False,False,False,False,True
0.0,6520,85.8,79.6,6520,0.0,0,0.0,0.0,,False,False,True,False,False,False
0.3,5429,245.6,241.6,5429,0.0,0,0.0,0.00019893166328974028,301611.1111111111,False,False,False,False,False,True
1230.9,3634,239.6,237.6,3634,0.0,0,0.0,1.2193835993395707,49.20518861537628,False,False,False,False,False,True
1196.4,3601,247.0,245.4,3601,0.0,0,0.0,1.1960677589558457,50.164382034993864,False,False,False,False,False,True
0.0,5400,134.4,126.4,5400,0.0,0,0.0,0.0,,False,False,True,False,False,False
5145.8,32682,143.6,121.5,1293,47.6,31389,0.9604369377639067,14.327053364269142,4.187881378988689,False,False,False,True,False,False
6135.8,12485,128.0,115.0,1987,49.8,10498,0.8408490188225871,11.116698540513337,5.397285874159305,False,False,False,True,False,False
11479.7,11140,244.0,107.2,1929,29.0,9211,0.8268402154398564,21.42401244167963,2.8005958343859154,False,False,False,True,False,False
0.0,2712,0.6000000000000001,-3.6,2712,0.0,0,0.0,0.0,,False,False,True,False,False,False
0.0,3639,106.0,99.2,3639,0.0,0,0.0,0.0,,False,False,True,False,False,False
0.0,3908,192.4,180.6,3908,0.0,0,0.0,0.0,,False,False,True,False,False,False
0.0,3237,77.8,73.2,3237,0.0,0,0.0,0.0,,False,False,True,False,False,False
0.0,3507,124.8,117.4,3507,0.0,0,0.0,0.0,,False,False,True,False,False,False
0.0,3318,76.2,16.8,3318,0.0,0,0.0,0.0,,False,False,True,False,False,False
0.0,4714,27.4,-8.0,4714,0.0,0,0.0,0.0,,False,False,True,False,False,False
0.0,3005,115.4,112.2,3005,0.0,0,0.0,0.0,,False,False,True,False,False,False
0.0,2901,77.0,73.2,2901,0.0,0,0.0,0.0,,False,False,True,False,False,False
0.0,2620,15.6,11.4,2620,0.0,0,0.0,0.0,,False,False,True,False,False,False
0.0,2880,184.4,181.6,2880,0.0,0,0.0,0.0,,False,False,True,False,False,False
0.0,2568,130.8,126.8,2568,0.0,0,0.0,0.0,,False,False,True,False,False,False
0.0,3261,64.0,61.2,3261,0.0,0,0.0,0.0,,False,False,True,False,False,False
0.0,2258,312.8,306.4,2258,0.0,0,0.0,0.0,,False,False,True,False,False,False
0.0,2426,359.2,354.8,2426,0.0,0,0.0,0.0,,False,False,True,False,False,False
0.0,3294,3.2,0.0,3294,0.0,0,0.0,0.0,,False,False,True,False,False,False
0.0,3414,18.6,16.8,3414,0.0,0,0.0,0.0,,False,False,True,False,False,False
0.0,3746,83.4,76.2,3746,0.0,0,0.0,0.0,,False,False,True,False,False,False
0.0,3140,0.0,-3.2,3140,0.0,0,0.0,0.0,,False,False,True,False,False,False
0.0,2104,27.2,21.4,2104,0.0,0,0.0,0.0,,False,False,True,False,False,False
0.0,2317,1.0,-0.2,2317,0.0,0,0.0,0.0,,False,False,True,False,False,False
0.0,1498,0.0,-2.6,1498,0.0,0,0.0,0.0,,False,False,True,False,False,False
57.6,3472,214.4,197.8,3472,0.0,0,0.0,0.059723502304147476,1004.6296296296297,False,False,False,False,False,True
32.7,3060,115.6,103.2,3060,0.0,0,0.0,0.03847058823529412,1559.633027522936,False,False,False,False,False,True
9.9,3004,164.8,151.2,3004,0.0,0,0.0,0.011864181091877497,5057.239057239057,False,False,False,False,False,True
6.6,3399,175.0,152.8,3399,0.0,0,0.0,0.006990291262135922,8583.333333333334,False,False,False,False,False,True
5.8,2760,150.8,134.6,2760,0.0,0,0.0,0.007565217391304348,7931.034482758621,False,False,False,False,False,True
14.7,3213,152.2,140.8,3213,0.0,0,0.0,0.016470588235294115,3642.8571428571427,False,False,False,False,False,True
152.2,2318,197.6,185.6,2318,0.0,0,0.0,0.23637618636755822,253.83267630310993,False,False,False,False,False,True
42.0,2709,258.0,246.0,2709,0.0,0,0.0,0.05581395348837209,1075.0,False,False,False,False,False,True
24.5,2834,209.4,194.8,2834,0.0,0,0.0,0.03112208892025406,1927.891156462585,False,False,False,False,False,True
2.8,2047,213.0,203.6,2047,0.0,0,0.0,0.004924279433317049,12184.52380952381,False,False,False,False,False,True
23.6,2401,146.2,135.0,2401,0.0,0,0.0,0.03538525614327364,1695.6214689265535,False,False,False,False,False,True
0.0,2748,848.2,836.8,2748,0.0,0,0.0,0.0,,False,False,True,False,False,False
8.3,2322,134.2,120.2,2322,0.0,0,0.0,0.012868217054263567,4662.650602409639,False,False,False,False,False,True
9.6,2674,127.4,112.4,2674,0.0,0,0.0,0.012924457741211667,4642.361111111112,False,False,False,False,False,True
59.4,3374,136.6,125.0,3374,0.0,0,0.0,0.0633787788974511,946.68911335578,False,False,False,False,False,True
74.9,2454,95.2,88.8,2454,0.0,0,0.0,0.10987775061124695,546.0614152202936,False,False,False,False,False,True
126.2,3420,113.0,112.8,3420,0.0,0,0.0,0.1328421052631579,451.6640253565768,False,False,False,False,False,True
41.9,3246,116.6,105.0,3246,0.0,0,0.0,0.04646950092421442,1291.1694510739858,False,False,False,False,False,True
103.6,3559,47.2,38.2,3559,0.0,0,0.0,0.10479348131497611,572.5546975546976,False,False,False,False,False,True
5334.3,20756,164.9,143.6,1430,19.7,19326,0.931104259009443,13.429006993006993,4.467940185841316,False,False,False,True,False,False
8145.8,17487,163.5,144.0,3085,31.3,14402,0.8235832332589924,9.505633711507295,6.3120462897034875,False,False,False,True,False,False
5065.1,6505,163.8,144.0,1140,18.0,5365,0.824750192159877,15.995052631578949,3.751159898126394,False,False,False,True,False,False
7874.5,11695,244.4,147.9,2078,94.0,9617,0.8223172295852929,13.642059672762272,4.398162846318285,False,False,False,True,False,False
9161.9,15759,250.1,148.4,2706,114.9,13053,0.8282885969921949,12.188780487804879,4.922559731060152,False,False,False,True,False,False
7733.5,11080,164.4,145.7,2006,11.9,9074,0.8189530685920577,13.878664007976072,4.323182690028232,False,False,False,True,False,False
1191.5,4423,152.9,147.9,772,0.0,3651,0.8254578340492879,5.5562176165803105,10.798713106728215,False,False,False,True,False,False
7411.2,11523,230.2,148.4,1253,0.0,10270,0.8912609563481733,21.29315243415802,2.8178072826712723,False,False,False,True,False,False
14492.2,35667,231.0,148.4,2705,81.4,32962,0.9241595872935767,19.287216266173754,3.110868835189504,False,False,False,True,False,False
14646.7,35519,230.8,148.4,2529,80.5,32990,0.9287986711337594,20.849395017793597,2.8777813432377255,False,False,False,True,False,False
14667.8,35549,230.1,148.4,2624,80.2,32925,0.9261863906157698,20.123506097560977,2.981587786398324,False,False,False,True,False,False
14632.6,35210,228.8,148.3,2444,79.0,32766,0.9305879011644419,21.553747954173485,2.783738592822419,False,False,False,True,False,False
14721.7,35464,229.9,148.4,2546,79.9,32918,0.9282088878863073,20.816229379418697,2.882366393373953,False,False,False,True,False,False
14675.6,35782,229.3,148.3,2611,79.5,33171,0.9270303504555363,20.234454232094986,2.9652393542115254,False,False,False,True,False,False
14632.6,35213,228.8,148.3,2447,79.0,32766,0.9305086189759464,21.527323252962812,2.787155620555016,False,False,False,True,False,False
14658.3,35990,230.7,148.4,2562,79.6,33428,0.9288135593220339,20.59714285714286,2.913025384935498,False,False,False,True,False,False
14689.6,35730,231.5,148.4,2611,79.4,33119,0.9269241533725161,20.253757181156647,2.9624133173583123,False,False,False,True,False,False
14700.1,35339,231.0,148.4,2561,80.6,32778,0.9275304903930501,20.663943771964078,2.9036083654759715,False,False,False,True,False,False
14698.1,35975,230.7,148.4,2481,80.8,33494,0.9310354412786658,21.327351874244258,2.8132887924289536,False,False,False,True,False,False
14703.4,35024,231.4,148.3,2452,81.7,32572,0.9299908634079488,21.5873735725938,2.7794024964747384,False,False,False,True,False,False
15069.2,35334,229.3,145.5,2553,83.1,32781,0.9277466462896926,21.249165687426558,2.823640272874472,False,False,False,True,False,False
14651.8,35650,229.5,148.4,2527,79.7,33123,0.9291164095371669,20.873161851998418,2.8745046114925583,False,False,False,True,False,False
14630.1,34815,229.3,148.4,2523,79.5,32292,0.9275312365359759,20.875291319857315,2.874211386114927,False,False,False,True,False,False
14721.1,35084,230.9,148.4,2493,80.1,32591,0.928941967848592,21.25790613718412,2.822479298421993,False,False,False,True,False,False
14326.7,34874,230.1,148.3,2232,80.5,32642,0.9359981648219303,23.107580645161292,2.5965504966251824,False,False,False,True,False,False
14637.5,35822,228.1,148.4,2542,79.0,33280,0.9290380213276758,20.72974036191975,2.8943922573299177,False,False,False,True,False,False
14656.3,35957,230.6,148.4,2443,79.7,33514,0.9320577356286676,21.597494883340154,2.778099975209751,False,False,False,True,False,False
14698.0,35645,231.5,148.4,2501,91.0,33144,0.929835881610324,21.156657337065173,2.835986755567651,False,False,False,True,False,False
14643.3,34975,229.7,148.4,2477,89.6,32498,0.9291779842744817,21.282147759386355,2.8192643279406506,False,False,False,True,False,False
14697.8,35507,232.3,148.4,2434,90.9,33073,0.9314501365927845,21.73873459326212,2.760050256954556,False,False,False,True,False,False
14657.6,35568,229.0,148.4,2483,90.3,33085,0.9301900584795322,21.25145388642771,2.823336244223702,False,False,False,True,False,False
14689.1,34495,230.3,148.3,2477,91.4,32018,0.9281924916654588,21.34871215179653,2.8104739795721545,False,False,False,True,False,False
14699.6,34686,229.8,148.4,2469,80.2,32217,0.9288185435045839,21.433195625759417,2.799395901929304,False,False,False,True,False,False
7871.5,23040,126.4,44.4,1776,90.0,21264,0.9229166666666667,15.955743243243242,3.76040144826272,False,False,False,True,False,False
5111.1,10350,164.0,144.0,1254,18.9,9096,0.878840579710145,14.673014354066986,4.089139324215922,False,False,False,True,False,False
5238.6,11636,162.9,143.5,1131,18.2,10505,0.9028016500515641,16.67458885941645,3.5982896193639524,False,False,False,True,False,False
2738.3,4537,163.2,144.0,724,18.9,3813,0.8404231871280582,13.61585635359116,4.406626982677817,False,False,False,True,False,False
0.0,812,283.4,192.2,812,0.0,0,0.0,0.0,,False,False,True,False,False,False
